iter	Accuracy	Logloss
0	0.87340048	0.2532350521
1	0.8926966448	0.2225148033
2	0.898260797	0.2062407226
3	0.9010359238	0.2027978718
4	0.90212003	0.198863385
5	0.9044086988	0.1940211577
6	0.9056549577	0.1904514256
7	0.9070448375	0.1865339157
8	0.9091759866	0.1830013666
9	0.9100330791	0.1816413833
10	0.9108299436	0.1802202538
11	0.9114970859	0.1792109626
12	0.9142027186	0.1767883817
13	0.9145965179	0.1761700671
14	0.9155231044	0.1747091044
15	0.9160512588	0.1740031467
16	0.916584046	0.1730120243
17	0.9170936686	0.1722483006
18	0.9177932415	0.1709993936
19	0.9183121299	0.1701457337
20	0.9189051453	0.1695498346
21	0.9196788451	0.1683185582
22	0.9200865432	0.1676197361
23	0.9206146975	0.1664777305
24	0.9211799153	0.1655510602
25	0.9217914624	0.1646025938
26	0.9221898946	0.1639829726
27	0.9226809855	0.1633528998
28	0.9230562531	0.1625197514
29	0.9235844074	0.1619555846
30	0.9241357264	0.1615088728
31	0.9241913216	0.1603524456
32	0.9248075016	0.1594372759
33	0.9249325908	0.1587771873
34	0.9251688704	0.1585696673
35	0.9253634536	0.1580179428
36	0.9259379372	0.1564513263
37	0.9263039389	0.1556419742
38	0.9268135615	0.1547965751
39	0.9270498411	0.1542993541
40	0.9276891858	0.1536717017
41	0.9284026575	0.1528596625
42	0.9285972406	0.1525003026
43	0.9289725082	0.1521295154
44	0.9295979541	0.1513641701
45	0.9299315253	0.1508578563
46	0.9301307414	0.1503716188
47	0.9305755029	0.1495653397
48	0.9310202644	0.1489708981
49	0.9311824171	0.1485949467
50	0.9312982404	0.147770969
51	0.9315623176	0.1469974776
52	0.9320256109	0.1464921551
53	0.9325908286	0.1460045388
54	0.9329012351	0.1456567343
55	0.9328780705	0.1453019909
56	0.9332301734	0.1442814117
