iter	Passed	Remaining
0	50	15025
1	92	13718
2	137	13639
3	161	11920
4	185	10955
5	210	10316
6	234	9803
7	255	9326
8	279	9035
9	295	8557
10	319	8393
11	341	8194
12	355	7844
13	369	7552
14	398	7568
15	417	7407
16	436	7265
17	461	7223
18	486	7198
19	507	7107
20	533	7089
21	557	7041
22	581	7008
23	604	6953
24	634	6974
25	655	6912
26	677	6854
27	701	6813
28	721	6744
29	745	6711
30	771	6697
31	791	6630
32	815	6598
33	834	6527
34	857	6493
35	878	6440
36	902	6415
37	923	6368
38	945	6326
39	975	6339
40	1000	6322
41	1028	6319
42	1055	6310
43	1083	6306
44	1111	6295
45	1139	6290
46	1164	6269
47	1186	6228
48	1214	6218
49	1253	6265
50	1285	6275
51	1311	6255
52	1342	6258
53	1379	6282
54	1405	6260
55	1436	6257
56	1460	6224
57	1483	6190
58	1516	6194
59	1547	6189
60	1580	6192
61	1601	6147
62	1626	6117
63	1652	6093
64	1678	6066
65	1703	6038
66	1717	5973
67	1746	5958
68	1775	5944
69	1803	5926
70	1832	5909
71	1857	5880
72	1883	5858
73	1908	5827
74	1936	5810
75	1963	5788
76	1992	5769
77	2019	5748
78	2044	5718
79	2073	5702
80	2104	5691
81	2128	5658
82	2145	5610
83	2170	5582
84	2195	5552
85	2216	5515
86	2251	5511
87	2272	5474
88	2294	5438
89	2324	5422
90	2344	5383
91	2374	5368
92	2398	5338
93	2431	5327
94	2459	5308
95	2485	5281
96	2512	5257
97	2541	5238
98	2565	5209
99	2593	5186
100	2618	5159
101	2644	5133
102	2671	5108
103	2690	5070
104	2714	5040
105	2739	5014
106	2768	4994
107	2800	4978
108	2831	4960
109	2856	4934
110	2883	4909
111	2903	4873
112	2929	4847
113	2950	4814
114	2972	4782
115	3004	4766
116	3037	4750
117	3063	4725
118	3088	4697
119	3110	4665
120	3129	4630
121	3152	4599
122	3187	4586
123	3220	4570
124	3259	4563
125	3292	4547
126	3334	4541
127	3378	4540
128	3416	4529
129	3455	4518
130	3497	4511
131	3529	4492
132	3561	4471
133	3591	4449
134	3622	4427
135	3643	4393
136	3668	4364
137	3693	4335
138	3717	4306
139	3745	4280
140	3774	4255
141	3808	4237
142	3841	4217
143	3868	4190
144	3894	4162
145	3918	4132
146	3944	4105
147	3968	4075
148	3995	4049
149	4016	4016
150	4037	3984
151	4059	3952
152	4084	3924
153	4111	3898
154	4139	3872
155	4159	3839
156	4189	3815
157	4212	3786
158	4239	3759
159	4261	3728
160	4290	3704
161	4320	3680
162	4342	3650
163	4373	3627
164	4403	3602
165	4431	3577
166	4451	3545
167	4476	3517
168	4500	3488
169	4525	3460
170	4553	3434
171	4581	3409
172	4608	3383
173	4633	3355
174	4658	3327
175	4681	3298
176	4703	3268
177	4728	3241
178	4753	3213
179	4777	3184
180	4804	3158
181	4833	3133
182	4856	3104
183	4883	3078
184	4909	3051
185	4931	3022
186	4959	2996
187	4983	2969
188	5009	2942
189	5036	2916
190	5061	2888
191	5090	2863
192	5118	2837
193	5140	2808
194	5167	2782
195	5188	2752
196	5214	2726
197	5240	2699
198	5267	2673
199	5296	2648
200	5321	2620
201	5353	2597
202	5382	2572
203	5408	2544
204	5439	2520
205	5465	2494
206	5495	2469
207	5524	2443
208	5554	2418
209	5584	2393
210	5614	2368
211	5647	2344
212	5680	2320
213	5705	2292
214	5735	2267
215	5763	2241
216	5794	2216
217	5819	2188
218	5844	2161
219	5868	2134
220	5892	2106
221	5923	2081
222	5952	2055
223	5980	2029
224	6011	2003
225	6037	1976
226	6063	1950
227	6089	1923
228	6115	1895
229	6142	1869
230	6168	1842
231	6193	1815
232	6218	1788
233	6240	1760
234	6263	1732
235	6292	1706
236	6318	1679
237	6345	1653
238	6371	1626
239	6402	1600
240	6427	1573
241	6456	1547
242	6477	1519
243	6506	1493
244	6534	1466
245	6562	1440
246	6584	1412
247	6614	1386
248	6641	1360
249	6666	1333
250	6693	1306
251	6724	1280
252	6750	1254
253	6773	1226
254	6798	1199
255	6827	1173
256	6854	1146
257	6882	1120
258	6907	1093
259	6933	1066
260	6959	1039
261	6988	1013
262	7013	986
263	7036	959
264	7068	933
265	7099	907
266	7127	880
267	7152	854
268	7180	827
269	7211	801
270	7236	774
271	7259	747
272	7289	720
273	7317	694
274	7343	667
275	7367	640
276	7395	614
277	7416	586
278	7448	560
279	7475	533
280	7499	507
281	7526	480
282	7551	453
283	7582	427
284	7613	400
285	7644	374
286	7669	347
287	7698	320
288	7723	293
289	7747	267
290	7773	240
291	7808	213
292	7836	187
293	7861	160
294	7888	133
295	7914	106
296	7941	80
297	7966	53
298	7988	26
299	8016	0
