iter	Passed	Remaining
0	305	458684
1	444	332793
2	605	302004
3	783	293151
4	945	282805
5	1081	269357
6	1199	255901
7	1324	246927
8	1445	239484
9	1568	233725
10	1684	228007
11	1805	223937
12	1932	221096
13	2054	218073
14	2173	215161
15	2289	212370
16	2405	209840
17	2527	208084
18	2640	205847
19	2759	204180
20	2871	202266
21	2999	201484
22	3126	200776
23	3248	199766
24	3374	199088
25	3492	197988
26	3610	196990
27	3730	196121
28	3856	195609
29	3974	194761
30	4095	194055
31	4219	193552
32	4336	192788
33	4457	192179
34	4578	191658
35	4693	190859
36	4811	190261
37	4934	189849
38	5061	189628
39	5190	189443
40	5305	188789
41	5418	188100
42	5535	187578
43	5651	187009
44	5777	186793
45	5892	186245
46	6018	186067
47	6147	185960
48	6266	185558
49	6382	185085
50	6507	184897
51	6629	184603
52	6748	184242
53	6880	184244
54	7005	184043
55	7123	183695
56	7241	183324
57	7360	183003
58	7486	182843
59	7616	182784
60	7737	182522
61	7878	182728
62	8006	182632
63	8124	182297
64	8253	182216
65	8376	181998
66	8502	181856
67	8628	181704
68	8754	181569
69	8873	181266
70	8998	181105
71	9119	180879
72	9243	180697
73	9366	180497
74	9482	180165
75	9602	179923
76	9722	179677
77	9841	179412
78	9990	179696
79	10108	179417
80	10227	179166
81	10360	179164
82	10476	178862
83	10595	178615
84	10716	178404
85	10836	178173
86	10951	177860
87	11104	178183
88	11251	178379
89	11388	178425
90	11515	178293
91	11639	178136
92	11769	178066
93	11905	178080
94	12028	177892
95	12189	178275
